company_name,skills,salary
PagarBook,"Backend development, scalable systems, Python, MongoDB",26
CashKaro,"Backend development, scalable systems, AWS, Java",25
Clix Capital,"Backend development, scalable systems, Java, Python",25
Indus Valley Partners,"Financial systems, data analytics, Python, Java",24
QuantumBlack,"Data science, machine learning, AI, Python",23
Zebra Technologies,"Embedded systems, scalable systems, C++, Python",22
Genpact,"Consulting, data analytics, Python, AWS",21
Netskope,"Cybersecurity, backend development, Python, Java",20
Druva,"Data management, backend development, AWS, Java",18
Proofpoint,"Cybersecurity, backend development, Python, Java",18
McKinsey Digital,"Consulting, scalable systems, Python, Java",22
SAP SuccessFactors,"Cloud computing, HR systems, Java, AWS",20
Hexaware,"Consulting, problem-solving, data structures, Java",18
Amdocs,"Telecom systems, backend development, Python, Java",18
ClearTax,"Fintech systems, backend development, Python, Java",19
TechM,"Cloud computing, backend development, AWS, Java",12.5
Cognizant,"Consulting, scalable systems, Java, Python",12
HCL Technologies,"System design, backend development, AWS, Java",14
Accenture,"Consulting, system design, Python, Java",20
TCS Digital,"Digital transformation, backend development, Python, Java",12
Wipro Work from Home,"Backend development, scalable systems, Java, Python",11.5
Cognizant,"Digital transformation, backend development, AWS, Java",11.5
