Jio, Telecom systems, scalable systems, Java, Python, 22
Airtel, Telecom systems, backend development, Python, AWS, 24
Vodafone Idea, Telecom systems, scalable systems, Java, MongoDB, 24
Reliance Retail, E-commerce systems, backend development, Java, AWS, 26
OYO Rooms, Hotel management systems, backend development, Python, MongoDB, 24
Treebo, Hotel management systems, scalable systems, Java, Spring Boot, 23
GoMechanic, Automotive systems, scalable systems, Java, AWS, 24
Spinny, Automotive systems, problem-solving, Java, MongoDB, 25
Cars24, Automotive systems, backend development, Python, AWS, 26
Drivezy, Automotive systems, scalable systems, Java, Spring Boot, 24
Zoomcar, Automotive systems, backend development, Java, MongoDB, 23
Scripbox, Fintech systems, scalable systems, Python, Java, 27
Growfit, Healthtech systems, backend development, Python, MongoDB, 23
Plum, Healthtech systems, scalable systems, Java, AWS, 22
AgricxLab, AgriTech, scalable systems, Python, Java, 24
Dehaat, AgriTech systems, problem-solving, Java, Python, 22
Ninjacart, AgriTech systems, scalable systems, Python, AWS, 25
Unnati, AgriTech systems, backend development, Java, Spring Boot, 22
Waycool, AgriTech systems, scalable systems, Python, AWS, 24
Blackbuck, Logistics systems, scalable systems, Python, AWS, 28
Xpressbees, Logistics systems, backend development, Java, MongoDB, 27
ElasticRun, Logistics systems, scalable systems, Python, Java, 28
Shiprocket, Logistics systems, scalable systems, AWS, Java, 27
Ecom Express, Logistics systems, backend development, Java, MongoDB, 26
Rivigo, Logistics systems, scalable systems, Python, Spring Boot, 27
Tata Elxsi, Embedded systems, scalable systems, C++, Python, 18
KPIT Technologies, Automotive software, embedded systems, C, MATLAB, 17
Mindtree, Backend development, scalable systems, Java, Spring Boot, 14
Zomato, E-commerce systems, backend development, Python, MongoDB, 26
Paytm, Fintech systems, backend development, Java, Spring Boot, 26
Mobikwik, Fintech systems, scalable systems, Python, AWS, 24
Razorpay, Fintech systems, backend development, Java, MongoDB, 30
CRED, Fintech systems, problem-solving, Python, MongoDB, 35
Meesho, E-commerce systems, backend development, Java, Spring Boot, 28
Unacademy, Edtech systems, scalable systems, Java, Python, 28
Byju's, Edtech systems, backend development, Python, AWS, 25
Vedantu, Edtech systems, scalable systems, Java, MongoDB, 26
Toppr, Edtech systems, problem-solving, Python, MongoDB, 24
Testbook, Edtech systems, backend development, Java, Spring Boot, 23
Doubtnut, Edtech systems, scalable systems, Python, AWS, 22
Gradeup, Edtech systems, backend development, Java, MongoDB, 21
Coursera, Edtech systems, problem-solving, Python, AWS, 30
Udemy, Edtech systems, backend development, Java, Spring Boot, 28
Spotify, Audio streaming systems, scalable systems, Python, AWS, 35
Gaana, Audio streaming systems, backend development, Java, MongoDB, 28
Saavn, Audio streaming systems, scalable systems, Python, Spring Boot, 27
Wynk, Audio streaming systems, backend development, Java, AWS, 24
Prime Video, Video streaming systems, scalable systems, Python, AWS, 40
Netflix, Video streaming systems, problem-solving, Java, Spring Boot, 45
Hotstar, Video streaming systems, backend development, Python, MongoDB, 35
Sony Liv, Video streaming systems, scalable systems, Java, AWS, 32
Voot, Video streaming systems, backend development, Python, Spring Boot, 30
Zee5, Video streaming systems, scalable systems, Java, AWS, 32
MX Player, Video streaming systems, backend development, Python, MongoDB, 29
Dailyhunt, News aggregation systems, scalable systems, Java, Spring Boot, 26
Inshorts, News aggregation systems, backend development, Python, AWS, 25
YourStory, News systems, problem-solving, Python, MongoDB, 23
Firstpost, News systems, backend development, Java, Spring Boot, 24
Times Internet, News aggregation systems, scalable systems, Python, AWS, 26
Indian Express, News systems, problem-solving, Java, MongoDB, 24
NDTV, News systems, backend development, Python, AWS, 23
Moneycontrol, Financial systems, scalable systems, Java, MongoDB, 28
BloombergQuint, Financial systems, backend development, Python, AWS, 30
CNBC TV18, Financial systems, problem-solving, Java, Spring Boot, 27
Economic Times, News aggregation systems, scalable systems, Python, AWS, 26
Yahoo Finance, Financial systems, backend development, Java, MongoDB, 31
Mint, News systems, scalable systems, Python, AWS, 25
Business Standard, News systems, backend development, Java, MongoDB, 23
Hindustan Times, News systems, scalable systems, Python, Spring Boot, 25
The Times of India, News aggregation systems, problem-solving, Java, AWS, 26
The Hindu, News systems, backend development, Python, MongoDB, 24
The Indian Express, News systems, scalable systems, Java, Spring Boot, 22
Financial Express, Financial systems, backend development, Python, AWS, 25
Business Insider, News systems, scalable systems, Java, MongoDB, 27
Forbes India, News systems, backend development, Python, AWS, 28
Gartner, Research systems, scalable systems, Java, MongoDB, 30
Glassdoor, Employment systems, backend development, Python, AWS, 30
Indeed, Employment systems, problem-solving, Java, MongoDB, 28
Naukri, Employment systems, backend development, Python, AWS, 27
Monster, Employment systems, scalable systems, Java, Spring Boot, 26
LinkedIn, Employment systems, backend development, Python, MongoDB, 40
HackerRank, Developer platforms, scalable systems, Python, AWS, 35
Leetcode, Developer platforms, backend development, Java, Spring Boot, 35
Codeforces, Developer platforms, scalable systems, Python, MongoDB, 32
Codechef, Developer platforms, problem-solving, Java, AWS, 30
StackOverflow, Developer platforms, scalable systems, Python, MongoDB, 36
GeeksforGeeks, Developer platforms, backend development, Java, Spring Boot, 28
Wikipedia, Knowledge systems, scalable systems, Python, MongoDB, 35
Quora, Knowledge systems, backend development, Java, AWS, 34
Reddit, Social media systems, scalable systems, Python, MongoDB, 40
Facebook, Social media systems, backend development, Java, Spring Boot, 45
Twitter, Social media systems, scalable systems, Python, AWS, 42
Instagram, Social media systems, backend development, Java, MongoDB, 40
Snapchat, Social media systems, scalable systems, Python, Spring Boot, 42
Pinterest, Social media systems, backend development, Java, AWS, 38
WhatsApp, Messaging systems, scalable systems, Python, MongoDB, 50
Signal, Messaging systems, backend development, Java, Spring Boot, 45
Telegram, Messaging systems, scalable systems, Python, AWS, 46
Slack, Communication platforms, backend development, Java, MongoDB, 45
Discord, Communication platforms, scalable systems, Python, Spring Boot, 40
Zoom, Video communication, backend development, Java, AWS, 50
Microsoft Teams, Video communication, scalable systems, Python, MongoDB, 52
Skype, Video communication, backend development, Java, Spring Boot, 48
Google Meet, Video communication, scalable systems, Python, AWS, 54
Cisco Webex, Video communication, backend development, Java, MongoDB, 50
Ola Electric, Embedded systems, scalable systems, C++, Python, 40
Delhivery, Logistics systems, scalable systems, Java, AWS, 35
Rivigo, Logistics systems, backend development, Python, MongoDB, 34
BlackBuck, Logistics systems, scalable systems, Java, Spring Boot, 32
Shadowfax, Logistics systems, backend development, Python, AWS, 30
RazorpayX, Fintech systems, scalable systems, Java, MongoDB, 45
Pine Labs, Payment systems, backend development, Python, Spring Boot, 40
CureFit, Healthtech, backend development, Python, MongoDB, 38
Practo, Healthtech, scalable systems, Java, AWS, 37
HealthifyMe, Healthtech, backend development, Python, Spring Boot, 35
1mg, Healthtech, scalable systems, Java, MongoDB, 36
MedLife, Healthtech, backend development, Python, AWS, 34
Porter, Logistics systems, scalable systems, Java, MongoDB, 36
Vogo, Ride-sharing systems, backend development, Python, AWS, 32
Zoom, Video conferencing, scalable systems, Java, Spring Boot, 55
WebEngage, SaaS systems, backend development, Python, MongoDB, 32
MoEngage, SaaS systems, scalable systems, Java, AWS, 33
Pendo, SaaS systems, backend development, Python, Spring Boot, 35
SendGrid, SaaS systems, scalable systems, Java, MongoDB, 38
Postman, API platform, backend development, Python, AWS, 40
BrowserStack, Testing platforms, scalable systems, Java, Spring Boot, 42
LambdaTest, Testing platforms, backend development, Python, MongoDB, 36
TestSigma, Testing platforms, scalable systems, Java, AWS, 34
Zoho, SaaS systems, backend development, Python, Spring Boot, 34
Freshworks, SaaS systems, scalable systems, Java, MongoDB, 36
Chargebee, Subscription systems, backend development, Python, AWS, 38
Grofers, E-commerce, backend development, Java, Spring Boot, 36
Udaan, E-commerce, scalable systems, Python, AWS, 35
Meesho, E-commerce, backend development, Java, MongoDB, 34
Paytm Money, Fintech, scalable systems, Python, Spring Boot, 36
Smallcase, Fintech, backend development, Java, AWS, 35
Groww, Fintech, scalable systems, Python, MongoDB, 38
CoinSwitch, Fintech, backend development, Java, Spring Boot, 40
WazirX, Fintech, scalable systems, Python, AWS, 42
ZebPay, Fintech, backend development, Java, MongoDB, 34
Vauld, Fintech, scalable systems, Python, Spring Boot, 36
CoinDCX, Fintech, backend development, Java, AWS, 39
OKEx, Fintech, scalable systems, Python, MongoDB, 38
Binance, Fintech, backend development, Java, Spring Boot, 40
Bitbns, Fintech, scalable systems, Python, AWS, 34
Instamojo, Fintech, backend development, Java, MongoDB, 32
Setu, Fintech, scalable systems, Python, Spring Boot, 36
MobiKwik, Payment systems, backend development, Java, AWS, 35
Razorpay, Payment systems, scalable systems, Python, MongoDB, 40
Zeta, Payment systems, backend development, Java, Spring Boot, 42
Open, Fintech, scalable systems, Python, AWS, 38
Creditas, Fintech, backend development, Java, MongoDB, 37
Jupiter, Fintech, scalable systems, Python, Spring Boot, 34
Fampay, Fintech, backend development, Java, AWS, 32
Kuvera, Fintech, scalable systems, Python, MongoDB, 33
Zerodha, Fintech, backend development, Java, Spring Boot, 36
Groww, Fintech, scalable systems, Python, AWS, 38
Upstox, Fintech, backend development, Java, MongoDB, 39
BankBazaar, Fintech, scalable systems, Python, Spring Boot, 35
CreditMantri, Fintech, backend development, Java, AWS, 34
Navi, Fintech, scalable systems, Python, MongoDB, 36
Fibe, Fintech, backend development, Java, Spring Boot, 30
SlicePay, Fintech, scalable systems, Python, AWS, 32
mSwipe, Payment systems, backend development, Java, MongoDB, 35
PayNearby, Payment systems, scalable systems, Python, Spring Boot, 34
Capital Float, Fintech, backend development, Java, AWS, 36
NeoGrowth, Fintech, scalable systems, Python, MongoDB, 38
Faircent, Fintech, backend development, Java, Spring Boot, 34
Lendingkart, Fintech, scalable systems, Python, AWS, 35
Clix Capital, Fintech, backend development, Java, MongoDB, 33
ZestMoney, Fintech, scalable systems, Python, Spring Boot, 36
MoneyTap, Fintech, backend development, Java, AWS, 34
CASHe, Fintech, scalable systems, Python, MongoDB, 36
Paysense, Fintech, backend development, Java, Spring Boot, 33
EarlySalary, Fintech, scalable systems, Python, AWS, 32
FinBox, Fintech, backend development, Java, MongoDB, 35
Kissht, Fintech, scalable systems, Python, Spring Boot, 32
MoneyView, Fintech, backend development, Java, AWS, 34
BharatPe, Fintech, scalable systems, Python, MongoDB, 36
Freo, Fintech, backend development, Java, Spring Boot, 33
Slicepay, Fintech, scalable systems, Python, AWS, 34
IDfy, Fintech, backend development, Java, MongoDB, 32
CashKaro, Cashback systems, scalable systems, Python, Spring Boot, 34
CouponDunia, Cashback systems, backend development, Java, AWS, 33
Magicpin, Cashback systems, scalable systems, Python, MongoDB, 36
Nearbuy, Cashback systems, backend development, Java, Spring Boot, 34
Dineout, Hospitality systems, scalable systems, Python, AWS, 36
Tableau, Data visualization, backend development, Python, Spring Boot, 60
Looker, Data analytics, scalable systems, Java, MongoDB, 58
Sisense, Data analytics, backend development, Python, AWS, 55
Domo, Data analytics, scalable systems, Java, Spring Boot, 53
Metabase, Data analytics, backend development, Python, MongoDB, 50
Power BI, Data visualization, scalable systems, Java, AWS, 48
Qlik, Data visualization, backend development, Python, Spring Boot, 46
GoodData, Data analytics, scalable systems, Java, MongoDB, 44
Sigma Computing, Data analytics, backend development, Python, AWS, 42
Periscope Data, Data analytics, scalable systems, Java, Spring Boot, 40
Birst, Data analytics, backend development, Python, MongoDB, 38
Yellowfin, Data visualization, scalable systems, Java, AWS, 36

